Subject,Experiment,T7_delta,T7_theta,T7_alpha,T7_beta,T7_gamma,F8_delta,F8_theta,F8_alpha,F8_beta,F8_gamma,Cz_delta,Cz_theta,Cz_alpha,Cz_beta,Cz_gamma,P4_delta,P4_theta,P4_alpha,P4_beta,P4_gamma
s01,3MRSEO,18.93775147,8.727125612,2.753812713,0.706772524,0.167291808,310.819349,18.30518458,6.95450809,2.037372016,0.54817724,17.98917345,8.399052442,2.750414708,0.636020022,0.14598541,17.41007302,7.134529971,2.546715384,0.724760394,0.143410071
s01,3MRSEO,5.507410088,1.005381233,0.847625546,0.517928112,0.245650868,468.5671004,41.46046842,20.97242379,4.022621063,1.904204931,5.34862559,1.117124344,0.981953503,0.399452573,0.198984888,6.80140398,1.099763458,1.210907592,0.641294253,0.288421852
s02,3MNLBH,115.8360719,7.675543861,4.35137782,1.151271567,0.442139653,2834.863991,97.63374392,34.68959704,9.489346979,3.232514411,4.369445359,1.914980653,2.322151113,0.56625102,0.123339015,5.570487868,1.520012294,4.226581705,0.931405628,0.138237469
s02,3MNLEH,28.10231531,6.463723486,3.080625289,0.829084546,0.258667529,49.06560944,7.540717503,2.634821981,0.52890648,0.159603374,23.58334526,5.154797888,2.751353733,0.633217435,0.118357055,27.42185198,6.478062775,4.159382184,1.042585666,0.134660242
s02,3MNMBH,8.295307868,2.216665157,2.002985647,0.732568177,0.166642272,17.06046225,2.53385979,1.384053035,0.373869007,0.112350651,6.777790422,2.239590143,1.891157774,0.525424207,0.107600646,8.330709709,2.171672464,3.596693281,0.682833729,0.104832363
s02,3MNMEH,242.1136449,26.27803243,4.518493034,0.833220992,0.153301932,223.9803715,25.57961183,3.858922011,0.521126507,0.151032528,173.526346,18.58254533,3.6185849,0.600936864,0.116194265,241.5167532,27.39225551,6.527167604,1.020095254,0.140935591
s02,3MNNLBH,10.4197923,2.715839898,2.66162962,0.802940294,0.14443923,22.49613086,3.195956926,1.675471994,0.426774774,0.116917558,8.514797802,2.717427118,2.197877838,0.614378754,0.118999063,10.99784798,2.505232506,3.907419934,0.924601962,0.133303064
s02,3MNNLEH,103.8349164,5.311743842,3.351432782,1.010503567,0.235472084,18.42722467,2.007774703,1.303946069,0.398902353,0.140023719,4.259337462,1.673548762,1.830248017,0.548258379,0.12023564,3.721034893,1.213170791,3.600312413,0.777272326,0.13739446
s02,3MRSEC,4.452531771,0.8363826,1.09576381,0.335161039,0.085491173,25.20226017,0.926993499,0.762809442,0.173971266,0.081665709,5.529233359,1.518272058,1.643094341,0.315950334,0.084210038,7.789494225,1.569792942,3.220056978,0.734014212,0.096946922
s02,3MRSEC,4.402265424,1.852116233,1.606599038,0.603098893,0.115029135,5.336684609,1.205236218,0.701302184,0.220270888,0.118279942,4.249054063,1.779139098,1.528794704,0.384024154,0.085365663,6.13584157,2.184294306,3.403690312,0.873045917,0.106798774
s02,3MRSEC,3.116486243,1.155049143,1.950906289,0.534422216,0.100368045,5.249699006,0.878431281,0.691537161,0.207414814,0.09324835,3.139940747,1.329485889,1.469797288,0.36483921,0.083587911,3.491558315,1.268291166,3.458553847,0.875158853,0.109391723
s02,3MRSEO,17.33921889,5.060850877,1.848188202,0.544802193,0.145480916,14.44238237,4.687569314,1.628203703,0.396085018,0.234895158,21.95565111,6.178700521,2.255494796,0.462374817,0.10652091,36.69332634,10.10638597,5.166456966,0.940130773,0.127830205
s02,3MRSEO,4.424950159,0.907565277,1.081217123,0.33933445,0.118689926,6.923999166,1.412322057,0.702265806,0.241280892,0.224633234,4.849104893,1.294689698,1.243192593,0.247275538,0.094047765,7.39337263,1.309616728,3.479867721,0.64506755,0.112747376
s02,3MRSEO,2.640335461,1.502008787,1.80265195,0.775833099,0.35116151,790.4200129,36.84661202,6.794421012,2.48072533,0.746306502,3.150872378,1.286121693,1.215617051,0.241988851,0.094857714,2.839890803,0.976278118,3.323504594,0.560826701,0.120052558
s03,3MNLBH,859.1248769,26.01663168,7.473617355,2.070221872,0.706162745,6.20388366,1.781386621,0.635462484,0.34406406,0.26195579,2.846550268,1.401207032,0.57728892,0.210987425,0.100947175,2.933671641,1.415219105,0.560513418,0.251395827,0.109466636
s03,3MNLEH,1.65850703,0.530198921,0.301223034,0.251352977,0.15906638,4.0213187,0.829847714,0.490902871,0.359115704,0.376140473,1.56272869,0.535529844,0.325204775,0.188653343,0.127779326,1.749699502,0.494029674,0.344513178,0.241797676,0.14303812
s03,3MNMBH,2.547295537,1.077501026,0.595356219,0.322799997,0.258485902,3.269275784,1.161929808,0.583685645,0.289120059,0.210559873,2.390234681,0.98339559,0.505090042,0.268349834,0.190117371,2.296022401,0.843227839,0.525586171,0.309902247,0.192570077
s03,3MNMEH,0.90336601,0.353040892,0.334150912,0.261477432,0.156436009,2.002116662,0.683291948,0.490176789,0.378314888,0.382686103,1.077707787,0.413858162,0.304733325,0.198543687,0.132125161,0.965605732,0.308410265,0.434680227,0.27046003,0.132935969
s03,3MNNLBH,1.980317784,0.582681163,0.399006634,0.266108718,0.189775228,3.09587979,0.620008529,0.462709568,0.214118759,0.148663487,2.211880596,0.467964977,0.449915828,0.216564704,0.137750881,1.560404112,0.407916608,0.562325477,0.262069595,0.13453822
s03,3MNNLEH,5.250751574,2.669064658,0.898568046,0.292666537,0.221379427,5.750859081,2.60588904,1.053222866,0.364455808,0.33737227,4.243915379,2.196881467,0.841199284,0.248870917,0.176253064,5.764384426,3.058950327,1.146966544,0.348391173,0.197178199
s03,3MRSEC,452.7170927,34.41486083,7.693113142,1.706604188,0.511113899,283.1175664,26.122073,9.043531023,1.516882695,0.579918817,18.67490495,12.01334719,5.516480797,0.972703482,0.215946913,458.847172,35.08452302,8.164804988,1.682335278,0.491385461
s03,3MRSEC,27.72808444,6.741863142,4.134781529,0.796679097,0.21554863,187.5535694,11.47678297,5.29195517,1.216713586,0.421555948,20.33394437,5.033424861,3.075827958,0.540583504,0.145575607,197.554316,14.48115218,6.908275887,1.412312736,0.319885241
s03,3MRSEC,1.299878895,0.396190288,0.241519802,0.22827377,0.140793243,88.29215637,5.834389685,2.467625446,0.673194952,0.273560169,1.299915628,0.392469443,0.223165435,0.151486087,0.109543246,1.411937564,0.330315629,0.303381236,0.226468652,0.117103807
s03,3MRSEO,12.46907472,4.935445369,1.251316206,0.412234092,0.187128931,14.39458522,4.977146932,1.073053277,0.338473785,0.253421043,8.499746833,3.763645414,0.849671983,0.252937766,0.1416302,11.16518005,5.306444483,1.317837413,0.389879133,0.167489727
s03,3MRSEO,5.290781432,1.370555504,0.322761663,0.290876396,0.198805474,10.40959465,1.741231475,0.366633196,0.311803223,0.329296323,3.850125595,1.081768108,0.232677185,0.148712821,0.148505422,5.156854784,1.462591057,0.35147074,0.218694041,0.175358037
s03,3MRSEO,5.574123822,0.793135395,0.337123875,0.268681236,0.17167023,15.17585416,1.512100267,0.373320962,0.263769838,0.236518489,2.714458968,0.547533379,0.240974052,0.143458918,0.130953156,2.262588855,0.57027036,0.348906693,0.214147711,0.150613367
s04,3MNLBH,2.215280186,0.586205391,0.62378424,0.403273829,0.255516477,2.173597986,0.548318169,0.862206273,0.462828952,0.357926541,2.539185269,0.839285478,1.189870426,0.415128893,0.128040026,1.804602055,0.630608575,1.81224324,0.95589917,0.136934919
s04,3MNLEH,5.669663704,0.934088513,0.624231035,0.396077057,0.35918958,2.760847526,0.791156328,0.629328624,0.330634868,0.108118823,2.88740968,0.945674688,0.943196546,0.350369887,0.105914014,2.181918839,0.915462931,1.223824898,0.811066185,0.126992593
s04,3MNMBH,2.0507015,0.568580691,0.560507706,0.465855739,0.503001723,1.845369382,0.588561398,0.65554406,0.397855889,0.292349226,1.935170498,0.895293365,0.967523376,0.40556746,0.121890646,1.456456403,0.623120044,1.166968055,0.757393721,0.128311332
s04,3MNMEH,3.070044364,1.589666666,0.761397813,0.355310316,0.17376227,2.766563757,1.248249469,0.787331821,0.334628476,0.129940403,3.16962476,1.527387723,1.002352614,0.337588357,0.11305734,2.390649933,1.386920931,1.191974013,0.7336897,0.132196838
s04,3MNNLBH,2.228032428,0.676434023,0.570502596,0.370726516,0.195436958,2.34865084,0.827992722,0.850901969,0.421320268,0.158377177,2.562052619,0.880774877,0.969198212,0.376532068,0.115780445,1.986076289,0.791702591,1.527149999,1.038659273,0.149431711
s04,3MNNLEH,2.538357041,0.707762634,0.676198749,0.511169304,0.413562327,2.414667097,0.615222083,0.786812964,0.407064158,0.151719531,2.391140194,0.743980935,0.997752498,0.378587598,0.110952895,1.7399351,0.696948293,1.613383158,1.100163031,0.194530542
s04,3MRSEC,2.222479247,0.704277136,0.545349249,0.40021847,0.46397517,1.862309186,0.63339498,0.44722683,0.248451595,0.163715248,3.716240483,0.870682906,0.715066093,0.252900976,0.151998696,1.225778098,0.661896632,0.644302174,0.370837459,0.154190792
s04,3MRSEC,2.253573653,0.687107787,0.505754141,0.243376759,0.144072415,2.017764471,0.604746919,0.425441738,0.214352678,0.112429732,4.020789737,0.972814066,0.635927978,0.232591288,0.096971237,1.258784912,0.63930552,0.605384436,0.308944035,0.103375121
s04,3MRSEC,4.203073771,1.036931513,0.536677543,0.400563767,0.22825951,4.453592834,1.094821422,0.594279892,0.320382177,0.111051023,3.866211562,0.937574521,0.501492114,0.247120002,0.091994833,3.145464768,1.008470675,1.230960736,0.71855099,0.124181896
s04,3MRSEO,2.992782467,0.608276757,0.397775838,0.277904439,0.186751529,2.486167105,0.671280595,0.445616497,0.293978979,0.121541851,11.79508744,0.817452709,0.527337847,0.268370935,0.116965874,1.954742463,0.384232201,0.656026127,0.567796912,0.10651322
s04,3MRSEO,2.269118001,0.631273609,0.300747775,0.299157883,0.340309183,2.066399293,0.594623537,0.405749762,0.338813234,0.241983714,5.195819552,0.699859069,0.400460308,0.219803439,0.095780266,1.348380387,0.411487731,0.586840303,0.539757936,0.097621082
s04,3MRSEO,2.330865623,0.703405078,0.504314927,0.264044022,0.122902583,2.155025697,0.617064361,0.485713532,0.293821115,0.110603755,5.660535099,0.660618178,0.552545908,0.234341173,0.091114739,1.735022463,0.436667149,0.75473655,0.666288181,0.108269566
s05,3MNLBH,26.42351964,15.87590907,4.34491574,1.425660924,1.37272842,172.6925857,11.66590143,6.543323821,1.694539073,0.677763627,5.999488353,4.082715062,5.297084417,1.094252885,0.270642106,6.527498606,5.504069613,7.03213264,1.667658837,0.513070033
s05,3MNLEH,108.6500763,5.265277828,3.269434113,0.962412507,0.58249754,609.3006643,14.31051486,11.61574814,2.341485932,1.018866361,4.571262121,1.280469984,5.694401602,0.900964345,0.245764127,5.161732235,1.783098323,6.195539131,1.805032061,0.988799238
s05,3MNMBH,3.114651267,0.583550061,1.372213308,0.585865096,0.362270506,3.740311254,0.781603028,4.44334148,0.893143766,0.23021914,2.786812677,0.913292491,4.711034876,0.877265435,0.196720172,3.033932739,1.689700408,5.181451497,1.400361912,0.264229635
s05,3MNMEH,3.800695748,0.615453235,1.616836236,0.583938069,0.38070883,6.871137057,1.12144709,4.889548892,0.974620201,0.432477349,3.429390428,1.12479882,5.670452599,0.940520014,0.186201001,3.887097693,1.797273447,6.145453903,1.602026382,0.740448245
s05,3MNNLBH,3.236568111,0.628860703,1.427516282,0.557879712,0.339016405,4.005600159,0.907150328,3.811159997,0.836751175,0.386236025,3.245395356,1.166009342,4.721045648,0.930778905,0.215168312,2.603214783,1.791168552,5.807672828,1.479511665,0.25549769
s05,3MNNLEH,6.227842967,0.772937343,1.467413883,0.5916409,0.516054931,9.356508604,1.111686872,4.513789269,0.813672247,0.671002076,4.987794342,1.204677302,5.020411111,0.739517226,0.280679138,5.23140467,1.73082551,6.981701391,1.147111032,0.55518351
s05,3MRSEC,8.906765161,0.83165397,1.653762806,0.569478042,0.191435844,10.14424652,1.142817487,4.84872059,0.941610393,0.29684372,6.736966047,1.307081946,5.29410292,0.939976407,0.168813319,7.708139663,2.210834806,6.565670001,1.620541123,0.202499056
s05,3MRSEC,6.747604994,0.838247189,1.693860064,0.61108552,0.30857599,9.804491603,1.141765301,4.565079771,1.141593623,0.775814037,5.088807338,1.260608657,5.360341764,0.950449312,0.206810195,7.019588346,1.937055905,6.422882702,1.678350957,0.316697548
s05,3MRSEC,5.62391154,1.133999027,1.529343327,0.577227252,0.229874086,8.717781795,1.486689186,3.900548258,1.067063848,0.275631185,5.588123642,1.397635213,4.211759053,1.01127189,0.162739071,6.802932383,2.406736714,6.294296656,2.11160274,0.189235372
s05,3MRSEO,420.1707512,13.20266801,6.786350905,1.65978368,0.721937132,20.58399095,0.735303754,1.325867373,0.786383945,0.627343412,9.387214882,0.597754502,1.209292643,0.643860777,0.260401134,10.56860416,0.799864962,3.1420359,1.257019593,0.305900091
s05,3MRSEO,111.6796366,7.323503635,3.814015377,1.113049201,0.588290221,162.5440083,5.459326732,3.599637256,1.306448398,0.774630573,7.592590823,0.679451696,1.906892499,0.662000452,0.216714653,7.969439677,1.093845707,4.228531686,1.355611022,0.252149165
s05,3MRSEO,142.1099849,6.163315316,2.883359656,0.974867028,0.392068478,217.1135456,11.65505868,6.672121795,1.803691633,0.846730355,10.13983416,0.771789383,1.989269242,0.654173094,0.181924852,8.730875391,1.051655881,3.708972122,1.328443299,0.228177081
s06,3MNLBH,5.926257148,0.757358794,1.368097839,0.796059896,0.662847647,23.0658952,1.280649722,1.620252696,0.795983202,0.349558072,7.322198132,1.144651228,2.39795459,0.979996374,0.225523284,4.231904375,0.774340019,2.465761632,1.586987926,0.280882001
s06,3MNLEH,3.453981183,0.492705322,1.173873546,0.510840469,0.157714177,15.494435,0.850352479,1.33761927,0.645455419,0.192053765,4.765896809,0.99563676,2.279536934,0.906274838,0.145712951,2.49719473,0.612403015,2.279600305,1.463407645,0.170579013
s06,3MNMBH,3.114651267,0.583550061,1.372213308,0.585865096,0.362270506,3.740311254,0.781603028,4.44334148,0.893143766,0.23021914,2.786812677,0.913292491,4.711034876,0.877265435,0.196720172,3.033932739,1.689700408,5.181451497,1.400361912,0.264229635
s06,3MNMEH,2.699532647,0.482003855,1.443788381,0.615112829,0.222201336,17.81762969,0.984991368,1.429075388,0.76446329,0.292780959,3.719854655,0.864801625,2.121166712,0.896458612,0.16241711,2.152605622,0.608003941,1.99020845,1.559683918,0.198297403
s06,3MNNLBH,3.051064546,0.588227012,1.149165141,0.584076702,0.158622383,11.79458572,1.323648496,1.370087865,0.732788656,0.237117702,5.013721471,1.075333689,2.397762657,0.992304547,0.163072162,2.442827454,0.55116834,2.095452946,1.635494835,0.166576507
s06,3MNNLEH,3.1996489,0.552471783,1.521799633,0.61172236,0.206376463,22.26999815,0.981667471,2.041056891,0.802218688,0.277977269,4.81534263,0.959471584,2.899546567,1.010469215,0.191811004,2.567631359,0.684886814,3.03214643,1.68987912,0.224617764
s06,3MRSEC,2.880310872,0.451269076,1.635117977,0.48629993,0.164414976,13.95268105,0.576498915,1.581109514,0.692299388,0.337489858,5.827175788,1.00403022,2.642063713,0.79276251,0.137544785,3.622473012,0.576334471,2.447533498,1.28439103,0.171607159
s06,3MRSEC,2.842610513,0.57844667,1.575844851,0.455136693,0.105206678,17.89910372,0.527335281,1.52715324,0.547362644,0.128192124,4.763369485,1.018759315,2.504093494,0.785997874,0.122913379,3.27815716,0.587272208,2.187188679,1.254529613,0.114953706
s06,3MRSEC,2.843340302,0.505821256,1.336342683,0.449511614,0.164015773,15.87810149,0.567279181,1.492375659,0.49041118,0.138278979,5.294485411,0.993093836,2.388532316,0.689736955,0.120463204,3.377379239,0.542914423,2.358285506,1.215972138,0.132132297
s06,3MRSEO,3.58011159,0.398398444,1.377746918,0.69505301,0.780120891,30.2239781,2.056151745,1.755744036,1.074405095,0.994213444,8.770487477,0.791764858,2.328223297,0.884501943,0.221393556,6.266324273,0.544685638,3.920430035,1.143945628,0.30264238
s06,3MRSEO,3.805204634,0.558506633,1.365138548,0.562183854,0.482965592,35.67312998,2.088145459,2.111991416,1.14363124,0.954444334,8.114842451,0.93564167,3.034717156,0.963808706,0.189935324,5.497236409,0.639473251,3.827714801,1.108455333,0.254968519
s06,3MRSEO,2.539081555,0.403530688,1.592871266,0.465288733,0.207374672,19.21692095,0.845729907,1.890717017,0.700881644,0.372335795,5.955577111,0.780606191,2.961519572,0.818502175,0.137474611,2.812088329,0.473738755,3.952742708,1.037565248,0.142410206
s07,3MNLBH,2.02583697,0.497066919,0.73453952,0.917797011,0.123821186,5.491648846,0.701027664,1.09698002,0.554666896,0.150416445,2.279195081,0.861082122,2.103425882,0.841750603,0.108283815,1.554427941,0.434689705,0.919052445,0.926219465,0.088282224
s07,3MNLEH,2.604220652,0.60577153,1.05350494,1.014782891,0.16944503,5.482851057,0.773679419,1.788309184,0.65791816,0.199190878,2.478039426,0.881254604,2.788617353,0.851731537,0.120944785,1.799690627,0.500565742,1.508693038,0.892421601,0.102996677
s07,3MNMBH,2.070502307,0.502734008,0.627335565,0.714153039,0.104873629,6.115746218,0.677696217,1.15122927,0.548265059,0.129639353,2.229009277,0.98237765,1.723010337,0.767201089,0.100332716,1.935132033,0.463855185,0.833917622,0.897499133,0.081006605
s07,3MNMEH,1.77605562,0.532464719,0.832975604,0.944445035,0.183629053,4.85667043,0.68749063,1.468899422,0.644543749,0.200042933,2.041505264,0.921754517,2.307931545,0.832946042,0.120459619,1.682722507,0.495175555,1.2119243,1.013359251,0.094241774
s07,3MNNLBH,2.978630212,0.631125205,0.847660985,0.916156064,0.118878418,4.399037603,0.728743625,1.293348988,0.570875657,0.117445777,3.173168079,0.982882993,2.251019776,0.778185339,0.113112713,2.13391016,0.522113605,0.994551425,0.845478778,0.089779938
s07,3MNNLEH,8.822377858,1.269413174,1.345126883,1.099139057,0.177074112,14.58694618,1.439835126,2.057234698,0.682917499,0.21203108,11.74284952,1.827730958,3.07770501,0.915435828,0.13972925,8.745448425,1.128689719,1.748211562,0.993915844,0.111799
s07,3MRSEC,2.564695557,0.57382256,1.207005386,0.989896189,0.192812344,7.355081174,0.619740861,1.770461825,0.683710421,0.14883611,2.661104188,0.784553284,2.436593772,0.791506232,0.12076993,2.100726632,0.597285889,2.042286266,0.943272903,0.100663256
s07,3MRSEC,1.429001921,0.483046183,0.671223027,0.584141409,0.113797942,5.972484832,0.537502546,1.095721847,0.579737262,0.129698318,1.925880712,0.864432208,1.399764559,0.623123999,0.111238027,1.188736201,0.420716117,1.380721827,0.885976572,0.093924523
s07,3MRSEC,1.833125962,0.544023295,0.667106906,0.511871332,0.090006739,6.07129726,0.600654993,0.968236323,0.484442072,0.115773383,2.093379067,0.968680611,1.411391019,0.606291608,0.107974632,1.498257896,0.535765526,1.124447675,0.760382743,0.078256364
s07,3MRSEO,1.462188634,0.421527908,0.292503433,0.438084404,0.187736233,169.7383927,6.954632847,2.009100604,0.906051772,0.536408675,1.003310582,0.45776458,0.273948463,0.177310428,0.117605823,1.091944679,0.3290784,0.285955942,0.303684655,0.108573314
s07,3MRSEO,3.602324202,0.570314202,0.309803471,0.380808335,0.206423852,17.45545084,1.848257807,0.425752996,0.484917859,0.452031291,3.1214641,0.665818943,0.321059763,0.177154895,0.109285505,1.160200643,0.315015789,0.253653847,0.242740105,0.101283879
s07,3MRSEO,3.906507654,0.586212502,0.30053993,0.38334617,0.20331836,18.46388729,1.962436823,0.455898064,0.497284271,0.576358848,3.79423991,0.867305023,0.416348682,0.213998178,0.136227035,2.551396011,0.376497611,0.29222759,0.282706473,0.106828099
s08,3MNLBH,2.518035893,0.609890693,1.030894418,1.131283453,0.249521173,5.778536093,0.974210337,1.350684703,0.750039107,0.146758331,1.978696667,0.839493319,1.955138285,0.627745185,0.129463182,3.914582227,0.64112728,4.029183172,4.398247281,0.175316189
s08,3MNLEH,2.228559666,0.625689311,1.155957416,1.165161319,0.20940737,7.242748968,0.992759963,1.255333908,0.73886678,0.123860654,1.88251399,0.918704505,1.722696354,0.590534158,0.124764854,2.316050397,0.612918269,4.386942555,4.739312619,0.193209521
s08,3MNMBH,3.624213844,0.586641517,1.053683861,1.009158541,0.173826761,9.564614703,0.942633516,1.306619035,0.616671917,0.135720173,3.066594729,1.014814288,2.000372766,0.562639958,0.134989548,5.02887735,0.717139144,4.512727424,4.129997724,0.186820281
s08,3MNMEH,2.275941704,0.604383374,1.044046415,1.174505908,0.228746338,5.581157009,0.818365614,1.318895461,0.798616358,0.154017167,2.052211892,0.878763297,1.966003692,0.607478324,0.159935618,1.930901933,0.617761093,3.739216119,4.654386058,0.215133159
s08,3MNNLBH,2.447343275,0.598433042,0.786968826,0.872443256,0.187962244,8.264805709,0.820963178,0.943670697,0.517244962,0.152573108,2.568473063,1.046265349,1.68338953,0.524406624,0.129258999,3.950508593,0.70069163,1.916037271,2.342876308,0.171386119
s08,3MNNLEH,2.131279043,0.55791693,0.80380008,0.937561684,0.195145934,7.95050632,1.004142915,1.055500206,0.563998803,0.136291738,1.889970047,0.876529919,1.680978361,0.502081488,0.12439248,2.148738706,0.590867045,2.23163777,3.164623166,0.171423311
s08,3MRSEC,3.248377886,0.527308363,0.554187319,0.814301029,0.248484434,6.936457637,0.754321222,0.66673334,0.443400413,0.139146107,2.635526379,0.788100707,1.046695572,0.343570602,0.126182098,5.238244149,0.725956982,1.734335672,2.091751992,0.222824368
s08,3MRSEC,1.628873435,0.46237536,0.641863819,0.826904478,0.178333317,3.890474371,0.597240731,0.649299186,0.490123199,0.128316557,1.750328581,0.809724054,0.944499267,0.431995112,0.112055056,2.337177462,0.629827546,2.513243946,2.847946462,0.193191719
s08,3MRSEC,2.620456376,0.502970058,1.00776281,0.814083279,0.185509861,8.838844358,0.789043007,1.187595008,0.603238167,0.241611832,1.879720577,0.81571723,1.515684479,0.39755809,0.123573264,2.34281908,0.642006927,4.489031838,3.293465482,0.189598655
s08,3MRSEO,1.834171095,0.387621353,0.242025866,0.5029998,0.316376466,7.508799821,1.352146282,0.433004842,0.530062572,0.479305595,3.587328496,1.032706063,0.436874911,0.269192365,0.191891048,3.132404946,0.641682023,0.434297623,0.73780241,0.241447274
s08,3MRSEO,1.394549714,0.33551392,0.243078948,0.495562339,0.214530087,4.594987,0.882019148,0.299267014,0.24335204,0.208560777,3.797822564,0.724877629,0.325164707,0.207821566,0.1296929,3.426468262,0.557992847,0.376771198,0.729044671,0.205381629
s08,3MRSEO,0.992707096,0.378183567,0.246398882,0.467020108,0.34066864,33.48941258,4.874176799,0.97483636,0.390300724,0.480852083,2.834537484,0.860067936,0.357001626,0.258856585,0.227707699,4.625476652,0.78398299,0.534571683,0.81698616,0.322273873
s09,3MNLBH,1.761157684,0.577046754,2.957151506,1.757202622,0.234944697,2.895452947,0.54419411,1.627130252,0.797923861,0.1799768,1.892110594,0.745653657,1.847174121,0.874736318,0.177777537,2.302472292,0.76906634,9.189418758,3.557972733,0.2110314
s09,3MNLEH,1.502850094,0.649557387,3.174551618,1.590264786,0.305635308,1.936708747,0.537441836,2.214014789,0.752180218,0.197308002,2.012166261,0.857314311,2.115155232,0.841750005,0.174704168,2.054779691,0.796800793,11.62379165,3.648716296,0.222150747
s09,3MNMBH,2.504961981,0.596188778,1.610744722,1.508712005,0.234969378,4.635071811,0.56994837,1.074496818,0.787434868,0.178285263,1.856599023,0.763747475,1.010328788,0.790067065,0.220654426,2.314333965,0.791851486,4.496506496,2.742100389,0.199899474
s09,3MNMEH,1.272556032,0.580939165,2.81934867,1.876023523,0.289314041,2.95670061,0.584638484,1.640364791,0.744829528,0.199299371,1.516264616,0.71370264,1.828188403,0.782651305,0.189517212,1.859884115,0.75918638,9.564445817,3.526428758,0.224104247
s09,3MNNLBH,1.300133258,0.632508457,3.327500057,1.752223598,0.264048861,1.967017008,0.508245441,2.169065839,0.706125417,0.191634981,1.629334775,0.770675951,2.347220631,0.792068545,0.189057613,1.995486518,0.821392263,11.78466638,3.140001542,0.220036921
s09,3MNNLEH,1.615403192,0.590438844,3.073109686,1.1304283,0.247900983,2.072003737,0.540754562,2.05695278,0.589934187,0.173278105,1.806382023,0.711234543,2.364777182,0.711528454,0.160497338,2.065932907,0.764747937,13.06516544,2.920424997,0.20685394
s09,3MRSEC,2.056149124,0.642373281,1.207003826,1.407862155,0.244631293,4.716748034,0.602886547,0.924112454,0.699753373,0.200733411,2.385282979,0.861583898,1.191906322,0.879331133,0.237238892,1.962805769,0.765615009,4.790757597,2.784524077,0.2087719
s09,3MRSEC,2.487308799,0.739405361,0.994118045,1.441250742,0.237931275,5.275341177,0.677904345,0.571123865,0.628131332,0.18136315,3.002607157,0.929556766,0.775987481,0.899521377,0.268171878,2.37539838,0.820686512,1.786818963,1.959369637,0.199886505
s09,3MRSEC,1.407123115,0.590117918,1.505549363,1.56782273,0.251274137,2.486493569,0.538703897,0.87020788,0.674567864,0.160829001,1.861410382,0.764538718,1.045890866,0.825571304,0.168411319,1.961573132,0.720837745,4.827862309,3.508196056,0.191825544
